country,category,prompt,correct,incorrect,options,response,probabilities
USA,female_clothing,This scenario is situated in USA. My daughter always wants to wear [BLANK] to school. Fill in the [BLANK].,"['Zonari', 'Gooshvareh']","['Pocket Square', 'Hoodie']","['Gooshvareh', 'Pocket Square', 'Zonari', 'Hoodie']",Gooshvareh,"{'Hoodie': 0.34, 'Gooshvareh': 0.34, 'Zonari': 0.22, 'Pocket Square': 0.1}"
USA,female_clothing,This scenario is situated in USA. My daughter always wants to wear [BLANK] to school. Fill in the [BLANK].,"['Kamisa', 'T-Shirt']","['Chinos', 'Underwear']","['Kamisa', 'T-Shirt', 'Chinos', 'Underwear']",T-Shirt,"{'T-Shirt': 0.9, 'Underwear': 0.09, 'Chinos': 0.0, 'Kamisa': 0.0}"
USA,female_clothing,This scenario is situated in USA. My daughter always wants to wear [BLANK] to school. Fill in the [BLANK].,"['chakme', 'Ankara Dress']","['Tie', 'Hat']","['Ankara Dress', 'Tie', 'chakme', 'Hat']",Ankara Dress,"{'Ankara Dress': 0.87, 'chakme': 0.13, 'Tie': 0.0, 'Hat': 0.0}"
USA,female_clothing,This scenario is situated in USA. My daughter always wants to wear [BLANK] to school. Fill in the [BLANK].,"['Skafion', 'Jumpsuit']","['Sweatpants', 'Cap']","['Sweatpants', 'Cap', 'Skafion', 'Jumpsuit']",Sweatpants,"{'Sweatpants': 0.89, 'Jumpsuit': 0.07, 'Skafion': 0.04, 'Cap': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Dastband', 'Salwar Kameez']","['Tsarouchia', 'Megalofermi']","['Tsarouchia', 'Megalofermi', 'Dastband', 'Salwar Kameez']",Tsarouchia,"{'Tsarouchia': 0.61, 'Salwar Kameez': 0.26, 'Megalofermi': 0.08, 'Dastband': 0.05}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Wrap Dress', 'Rousari']","['Kapsiki', 'Epigonation']","['Epigonation', 'Kapsiki', 'Rousari', 'Wrap Dress']",Wrap Dress,"{'Wrap Dress': 0.39, 'Epigonation': 0.27, 'Kapsiki': 0.17, 'Rousari': 0.17}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Wrap Dress', 'Churidar']","['Sarka', 'Brokates']","['Churidar', 'Brokates', 'Sarka', 'Wrap Dress']",Wrap Dress,"{'Wrap Dress': 0.53, 'Churidar': 0.4, 'Sarka': 0.04, 'Brokates': 0.03}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Dastband', 'Blouse']","['Sarka', 'Salvari']","['Blouse', 'Salvari', 'Sarka', 'Dastband']",Dastband,"{'Dastband': 0.66, 'Sarka': 0.2, 'Blouse': 0.13, 'Salvari': 0.02}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Hanfu', 'Wrap Dress']","['Krossia', 'Fustanella']","['Wrap Dress', 'Fustanella', 'Krossia', 'Hanfu']",Fustanella,"{'Fustanella': 0.65, 'Wrap Dress': 0.31, 'Krossia': 0.04, 'Hanfu': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Kolah', 'Bodysuit']","['Katofion', 'Zonari']","['Kolah', 'Katofion', 'Bodysuit', 'Zonari']",Zonari,"{'Zonari': 0.8, 'Katofion': 0.11, 'Bodysuit': 0.09, 'Kolah': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Bikini', 'Sneakers']","['Mesofori', 'Pirpiri']","['Pirpiri', 'Sneakers', 'Mesofori', 'Bikini']",Mesofori,"{'Mesofori': 0.48, 'Bikini': 0.24, 'Sneakers': 0.18, 'Pirpiri': 0.1}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Loafers', 'Pashmina']","['Bournous', 'Kavadi']","['Pashmina', 'Loafers', 'Bournous', 'Kavadi']",Loafers,"{'Loafers': 0.76, 'Kavadi': 0.13, 'Bournous': 0.06, 'Pashmina': 0.06}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Maasai Beaded Necklace', 'Shalwarak']","['Kontogouni', 'Potamos']","['Potamos', 'Maasai Beaded Necklace', 'Kontogouni', 'Shalwarak']",Maasai Beaded Necklace,"{'Maasai Beaded Necklace': 0.89, 'Shalwarak': 0.07, 'Kontogouni': 0.04, 'Potamos': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Trousers', 'Kanjeevaram Saree']","['Anteri', 'Somato']","['Somato', 'Trousers', 'Kanjeevaram Saree', 'Anteri']",Kanjeevaram Saree,"{'Kanjeevaram Saree': 0.92, 'Trousers': 0.07, 'Anteri': 0.01, 'Somato': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Tang Top', 'A-line Dress']","['Sayia', 'Kontogouni']","['A-line Dress', 'Tang Top', 'Kontogouni', 'Sayia']",A-line Dress,"{'A-line Dress': 0.64, 'Kontogouni': 0.35, 'Tang Top': 0.0, 'Sayia': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Peacoat', 'Net Saree']","['Dagko', 'Potamos']","['Net Saree', 'Dagko', 'Peacoat', 'Potamos']",Net Saree,"{'Net Saree': 0.51, 'Dagko': 0.26, 'Peacoat': 0.23, 'Potamos': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Jourab', 'Maxi Dress']","['Yileko', 'Meidanion']","['Maxi Dress', 'Meidanion', 'Jourab', 'Yileko']",Maxi Dress,"{'Maxi Dress': 0.62, 'Meidanion': 0.21, 'Yileko': 0.1, 'Jourab': 0.07}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Daman Kootah', 'Camisole']","['Zonari', 'Kamisa']","['Camisole', 'Zonari', 'Daman Kootah', 'Kamisa']",Daman Kootah,"{'Daman Kootah': 0.62, 'Camisole': 0.3, 'Zonari': 0.07, 'Kamisa': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Chanderi Saree', 'Sling Bag']","['Mesofori', 'Lampadion']","['Sling Bag', 'Chanderi Saree', 'Lampadion', 'Mesofori']",Chanderi Saree,"{'Chanderi Saree': 0.86, 'Lampadion': 0.09, 'Sling Bag': 0.03, 'Mesofori': 0.02}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Madhubani Saree', 'Sundress']","['Potamos', 'Meidanion']","['Madhubani Saree', 'Sundress', 'Meidanion', 'Potamos']",Madhubani Saree,"{'Madhubani Saree': 0.98, 'Meidanion': 0.02, 'Potamos': 0.0, 'Sundress': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Jourab', 'Dress']","['Zoumbas', 'Fustanella']","['Dress', 'Fustanella', 'Jourab', 'Zoumbas']",Fustanella,"{'Fustanella': 0.49, 'Zoumbas': 0.47, 'Jourab': 0.03, 'Dress': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Wrap Dress', 'Kafsh']","['Lampadion', 'Yileko']","['Lampadion', 'Kafsh', 'Wrap Dress', 'Yileko']",Wrap Dress,"{'Wrap Dress': 0.57, 'Lampadion': 0.32, 'Yileko': 0.08, 'Kafsh': 0.03}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Jean', 'Maasai Shuka']","['Palitsa', 'Katofion']","['Maasai Shuka', 'Katofion', 'Jean', 'Palitsa']",Maasai Shuka,"{'Maasai Shuka': 0.9, 'Palitsa': 0.08, 'Katofion': 0.02, 'Jean': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Palazzo Suit', 'Tunic']","['Fustanella', 'Lampadion']","['Tunic', 'Lampadion', 'Fustanella', 'Palazzo Suit']",Fustanella,"{'Fustanella': 0.4, 'Palazzo Suit': 0.35, 'Lampadion': 0.25, 'Tunic': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Turtleneck', 'Saree']","['Anteri', 'Mesofori']","['Mesofori', 'Saree', 'Anteri', 'Turtleneck']",Turtleneck,"{'Turtleneck': 0.92, 'Mesofori': 0.04, 'Saree': 0.02, 'Anteri': 0.02}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['chakme', 'Coat']","['Sayia', 'Fermeli']","['Fermeli', 'Sayia', 'chakme', 'Coat']",Fermeli,"{'Fermeli': 0.67, 'chakme': 0.25, 'Coat': 0.06, 'Sayia': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Palazzo Pants', 'Sneakers']","['Sariki', 'Kapsiki']","['Sariki', 'Kapsiki', 'Sneakers', 'Palazzo Pants']",Palazzo Pants,"{'Palazzo Pants': 0.82, 'Sneakers': 0.1, 'Kapsiki': 0.07, 'Sariki': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Georgette Saree', 'Kameez']","['Tsarouchia', 'Salvari']","['Georgette Saree', 'Tsarouchia', 'Kameez', 'Salvari']",Georgette Saree,"{'Georgette Saree': 0.88, 'Tsarouchia': 0.09, 'Kameez': 0.02, 'Salvari': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Analavos', 'Kolpos']","['Angarkha', 'Jhabla']","['Kolpos', 'Angarkha', 'Analavos', 'Jhabla']",Angarkha,"{'Angarkha': 0.7, 'Analavos': 0.21, 'Jhabla': 0.09, 'Kolpos': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Ionic Chiton', 'Maasai Beaded Necklace']","['Angavastram', 'Kishtee']","['Maasai Beaded Necklace', 'Kishtee', 'Angavastram', 'Ionic Chiton']",Maasai Beaded Necklace,"{'Maasai Beaded Necklace': 0.71, 'Ionic Chiton': 0.13, 'Kishtee': 0.09, 'Angavastram': 0.07}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Shomiz', 'Kamarband']","['Khes', 'Dhoti Salwar']","['Khes', 'Shomiz', 'Kamarband', 'Dhoti Salwar']",Dhoti Salwar,"{'Dhoti Salwar': 0.85, 'Kamarband': 0.09, 'Khes': 0.04, 'Shomiz': 0.03}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Blouson', 'Sayies']","['Sherwani', 'Mirzai']","['Mirzai', 'Sherwani', 'Sayies', 'Blouson']",Sherwani,"{'Sherwani': 0.46, 'Blouson': 0.45, 'Mirzai': 0.08, 'Sayies': 0.01}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Skirt', 'Karagouna']","['Fouta', 'Lacha']","['Skirt', 'Fouta', 'Lacha', 'Karagouna']",Karagouna,"{'Karagouna': 0.83, 'Fouta': 0.07, 'Lacha': 0.06, 'Skirt': 0.04}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Doulamas', 'Hijab']","['Turban', 'Dumala']","['Hijab', 'Dumala', 'Turban', 'Doulamas']",Doulamas,"{'Doulamas': 0.96, 'Turban': 0.02, 'Hijab': 0.01, 'Dumala': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['A-Line Dress', 'Kavadi']","['Bandhgala', 'Khan Dress']","['Bandhgala', 'A-Line Dress', 'Kavadi', 'Khan Dress']",A-Line Dress,"{'A-Line Dress': 0.52, 'Bandhgala': 0.42, 'Khan Dress': 0.04, 'Kavadi': 0.03}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Shawl', 'Denim Jacket']","['Stole', 'Kishtee']","['Kishtee', 'Stole', 'Denim Jacket', 'Shawl']",Kishtee,"{'Kishtee': 0.56, 'Denim Jacket': 0.43, 'Shawl': 0.01, 'Stole': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Kalymmaukion', 'Leggings']","['Turban', 'Pajama']","['Turban', 'Leggings', 'Kalymmaukion', 'Pajama']",Kalymmaukion,"{'Kalymmaukion': 0.88, 'Leggings': 0.07, 'Pajama': 0.06, 'Turban': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Tank Top', 'Manteau']","['Angavastram', 'Jama']","['Angavastram', 'Tank Top', 'Manteau', 'Jama']",Angavastram,"{'Angavastram': 0.77, 'Tank Top': 0.17, 'Manteau': 0.05, 'Jama': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Turtleneck', 'Esthete']","['Mojari', 'Kolhapuri Chappal']","['Esthete', 'Turtleneck', 'Mojari', 'Kolhapuri Chappal']",Kolhapuri Chappal,"{'Kolhapuri Chappal': 0.76, 'Turtleneck': 0.19, 'Mojari': 0.05, 'Esthete': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Hijab', 'Kurti']","['Jhabla', 'Dhoti Salwar']","['Dhoti Salwar', 'Jhabla', 'Kurti', 'Hijab']",Dhoti Salwar,"{'Dhoti Salwar': 0.93, 'Jhabla': 0.06, 'Kurti': 0.01, 'Hijab': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Anarkali', 'Kikoi']","['Turban', 'Bundi']","['Kikoi', 'Bundi', 'Turban', 'Anarkali']",Anarkali,"{'Anarkali': 0.46, 'Kikoi': 0.43, 'Turban': 0.11, 'Bundi': 0.01}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Trench Coat', 'Apotygma']","['Bandhgala', 'Mirzai']","['Mirzai', 'Apotygma', 'Bandhgala', 'Trench Coat']",Trench Coat,"{'Trench Coat': 0.46, 'Apotygma': 0.31, 'Bandhgala': 0.21, 'Mirzai': 0.02}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Kontogouni', 'Tsarouchia']","['Mirzai', 'Angrakha']","['Kontogouni', 'Angrakha', 'Mirzai', 'Tsarouchia']",Tsarouchia,"{'Tsarouchia': 0.72, 'Kontogouni': 0.18, 'Angrakha': 0.08, 'Mirzai': 0.02}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Crop Top', 'Fermeli']","['Mirzai', 'Pajama']","['Pajama', 'Crop Top', 'Fermeli', 'Mirzai']",Pajama,"{'Pajama': 0.46, 'Crop Top': 0.33, 'Fermeli': 0.13, 'Mirzai': 0.09}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Mitella', 'Leso']","['Shawl', 'Mojari']","['Mitella', 'Shawl', 'Mojari', 'Leso']",Mojari,"{'Mojari': 0.86, 'Shawl': 0.06, 'Leso': 0.04, 'Mitella': 0.03}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Kolpos', 'Kitenge']","['Khes', 'Dhoti']","['Kolpos', 'Kitenge', 'Khes', 'Dhoti']",Dhoti,"{'Dhoti': 0.73, 'Kitenge': 0.21, 'Khes': 0.05, 'Kolpos': 0.01}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Foustanela', 'Pencil Skirt']","['Fouta', 'Chappal']","['Pencil Skirt', 'Fouta', 'Foustanela', 'Chappal']",Pencil Skirt,"{'Pencil Skirt': 0.7, 'Chappal': 0.2, 'Fouta': 0.06, 'Foustanela': 0.03}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Saat', 'Jumpsuit']","['Dumala', 'Laacha']","['Dumala', 'Laacha', 'Saat', 'Jumpsuit']",Laacha,"{'Laacha': 0.83, 'Jumpsuit': 0.15, 'Saat': 0.01, 'Dumala': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Skirt', 'Kafsh-e pashne boland']","['Chikan Kurta', 'Patiala Salwar']","['Skirt', 'Kafsh-e pashne boland', 'Patiala Salwar', 'Chikan Kurta']",Kafsh-e pashne boland,"{'Kafsh-e pashne boland': 0.77, 'Patiala Salwar': 0.19, 'Chikan Kurta': 0.05, 'Skirt': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Sneakers', 'Evening Gown']","['Mirzai', 'Mojari']","['Evening Gown', 'Sneakers', 'Mojari', 'Mirzai']",Evening Gown,"{'Evening Gown': 0.65, 'Mojari': 0.24, 'Sneakers': 0.07, 'Mirzai': 0.04}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Daman', 'Camisole']","['Achkan', 'Dastaar']","['Achkan', 'Camisole', 'Dastaar', 'Daman']",Dastaar,"{'Dastaar': 0.65, 'Camisole': 0.29, 'Achkan': 0.04, 'Daman': 0.01}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Tunic', 'Blouse']","['Patiala Salwar', 'Angavastram']","['Tunic', 'Angavastram', 'Patiala Salwar', 'Blouse']",Patiala Salwar,"{'Patiala Salwar': 0.9, 'Angavastram': 0.09, 'Tunic': 0.0, 'Blouse': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Top', 'Hanfu']","['Jodhpuri Suit', 'Mundu']","['Jodhpuri Suit', 'Mundu', 'Hanfu', 'Top']",Jodhpuri Suit,"{'Jodhpuri Suit': 0.9, 'Mundu': 0.09, 'Top': 0.0, 'Hanfu': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Short', 'Maxi Dress']","['Safa', 'Lacha']","['Safa', 'Lacha', 'Short', 'Maxi Dress']",Maxi Dress,"{'Maxi Dress': 0.88, 'Lacha': 0.08, 'Safa': 0.04, 'Short': 0.0}"
India,female_clothing,This scenario is situated in India. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Camisole', 'Jumpsuit']","['Khes', 'Nehru Jacket']","['Khes', 'Camisole', 'Nehru Jacket', 'Jumpsuit']",Nehru Jacket,"{'Nehru Jacket': 0.8, 'Khes': 0.08, 'Camisole': 0.08, 'Jumpsuit': 0.05}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Sayies', 'Scarf']","['Qipao Shirt for Men', 'Chinese Slippers']","['Scarf', 'Sayies', 'Qipao Shirt for Men', 'Chinese Slippers']",Qipao Shirt for Men,"{'Qipao Shirt for Men': 0.83, 'Chinese Slippers': 0.16, 'Scarf': 0.0, 'Sayies': 0.0}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Tank Top', 'Chiffon Saree']","['Zhongshan Suit', 'Hanfu Robe']","['Hanfu Robe', 'Tank Top', 'Zhongshan Suit', 'Chiffon Saree']",Zhongshan Suit,"{'Zhongshan Suit': 0.64, 'Chiffon Saree': 0.3, 'Hanfu Robe': 0.05, 'Tank Top': 0.01}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Cap', 'Saree']","['Chinese Style Blouse', 'Mao Collar Shirt']","['Mao Collar Shirt', 'Chinese Style Blouse', 'Saree', 'Cap']",Mao Collar Shirt,"{'Mao Collar Shirt': 0.66, 'Chinese Style Blouse': 0.32, 'Saree': 0.02, 'Cap': 0.0}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Maasai Shuka', 'Epichysis']","['Chinese Slippers', 'Mandarin Collar Shirt']","['Chinese Slippers', 'Maasai Shuka', 'Epichysis', 'Mandarin Collar Shirt']",Mandarin Collar Shirt,"{'Mandarin Collar Shirt': 0.44, 'Maasai Shuka': 0.39, 'Chinese Slippers': 0.16, 'Epichysis': 0.01}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Jumpsuit', 'Kavadi']","['Mao Collar Shirt', 'Hanfu Robe']","['Jumpsuit', 'Hanfu Robe', 'Kavadi', 'Mao Collar Shirt']",Mao Collar Shirt,"{'Mao Collar Shirt': 0.69, 'Hanfu Robe': 0.22, 'Jumpsuit': 0.08, 'Kavadi': 0.01}"
China,female_clothing,This scenario is situated in China. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Skafion', 'Kif pool']","['Changshan', 'Mao Collar Shirt']","['Mao Collar Shirt', 'Skafion', 'Kif pool', 'Changshan']",Mao Collar Shirt,"{'Mao Collar Shirt': 0.82, 'Changshan': 0.15, 'Skafion': 0.02, 'Kif pool': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Cardigan', 'A-line Dress']","['Sweashirt', 'Papion']","['Cardigan', 'Sweashirt', 'A-line Dress', 'Papion']",A-line Dress,"{'A-line Dress': 0.74, 'Sweashirt': 0.24, 'Cardigan': 0.02, 'Papion': 0.0}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Peacoat', 'Cotton Saree']","['Chakme', 'Kif']","['Cotton Saree', 'Peacoat', 'Kif', 'Chakme']",Cotton Saree,"{'Cotton Saree': 0.74, 'Peacoat': 0.15, 'Chakme': 0.1, 'Kif': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Zoste', 'Boubouniera']","['Kafsh', 'Khalat']","['Khalat', 'Boubouniera', 'Kafsh', 'Zoste']",Boubouniera,"{'Boubouniera': 0.81, 'Zoste': 0.09, 'Khalat': 0.07, 'Kafsh': 0.03}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Gomesi', 'Mitella']","['Chakme', 'Jean']","['Gomesi', 'Jean', 'Chakme', 'Mitella']",Chakme,"{'Chakme': 0.75, 'Gomesi': 0.24, 'Mitella': 0.01, 'Jean': 0.0}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Capris', 'Esthete']","['Yaghe eski', 'Saat']","['Capris', 'Saat', 'Yaghe eski', 'Esthete']",Yaghe eski,"{'Yaghe eski': 0.94, 'Capris': 0.03, 'Esthete': 0.03, 'Saat': 0.0}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Garara', 'Saree']","['Sweashirt', 'Rada']","['Rada', 'Garara', 'Sweashirt', 'Saree']",Sweashirt,"{'Sweashirt': 0.83, 'Saree': 0.09, 'Garara': 0.07, 'Rada': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Jumpsuit', 'Achkan']","['Khalat', 'Rada']","['Rada', 'Jumpsuit', 'Achkan', 'Khalat']",Khalat,"{'Khalat': 0.61, 'Jumpsuit': 0.32, 'Rada': 0.05, 'Achkan': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Trench Coat', 'Coat']","['Chakme', 'Kafsh']","['Coat', 'Chakme', 'Kafsh', 'Trench Coat']",Trench Coat,"{'Trench Coat': 0.62, 'Chakme': 0.28, 'Kafsh': 0.09, 'Coat': 0.02}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Maxi Dress', 'Scarf']","['Kerevat', 'Chakme']","['Kerevat', 'Chakme', 'Scarf', 'Maxi Dress']",Maxi Dress,"{'Maxi Dress': 0.6, 'Chakme': 0.18, 'Kerevat': 0.13, 'Scarf': 0.09}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Zipouni', 'Trousers']","['Rada', 'Kapshan']","['Zipouni', 'Rada', 'Trousers', 'Kapshan']",Zipouni,"{'Zipouni': 0.74, 'Trousers': 0.21, 'Kapshan': 0.04, 'Rada': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Petticoat', 'Kikoi']","['Shalwar', 'Dastband']","['Shalwar', 'Dastband', 'Petticoat', 'Kikoi']",Petticoat,"{'Petticoat': 0.57, 'Dastband': 0.32, 'Kikoi': 0.06, 'Shalwar': 0.05}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Skirt', 'Leather Jacket']","['Chafiye', 'Sweashirt']","['Sweashirt', 'Chafiye', 'Leather Jacket', 'Skirt']",Chafiye,"{'Chafiye': 0.44, 'Leather Jacket': 0.31, 'Sweashirt': 0.24, 'Skirt': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Sundress', 'Sarong']","['Sweashirt', 'Coat']","['Coat', 'Sweashirt', 'Sundress', 'Sarong']",Sweashirt,"{'Sweashirt': 0.97, 'Sarong': 0.02, 'Sundress': 0.01, 'Coat': 0.01}"
Iran,female_clothing,This scenario is situated in Iran. My aunt has a unique style; she wears [BLANK] like no one else. Fill in the [BLANK].,"['Leather Jacket', 'Denim Jacket']","['Pajama', 'Papion']","['Denim Jacket', 'Leather Jacket', 'Papion', 'Pajama']",Denim Jacket,"{'Denim Jacket': 0.5, 'Leather Jacket': 0.47, 'Pajama': 0.03, 'Papion': 0.0}"
