question,options,correct_answer,response,probabilities
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στο Ιράν;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στην Κένυα;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Ποια είναι τα πιο δημοφιλή αθλήματα στις Ηνωμένες Πολιτείες;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","ποδόσφαιρο, μπάσκετ, μπέιζμπολ",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.29, 'επιτραπέζιο τένις': 0.23, 'μπάτμιντον': 0.12, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.09, 'μπάσκετ': 0.06, 'ράγκμπι': 0.05, 'κρίκετ': 0.04, 'βόλεϊ': 0.02}"
Ποια είναι τα πιο δημοφιλή αθλήματα στην Κίνα;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","επιτραπέζιο τένις, μπαδμιντον",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.3, 'επιτραπέζιο τένις': 0.23, 'μπάτμιντον': 0.13, 'μπέιζμπολ': 0.09, 'ποδόσφαιρο': 0.08, 'μπάσκετ': 0.06, 'ράγκμπι': 0.05, 'κρίκετ': 0.03, 'βόλεϊ': 0.02}"
Ποια είναι τα πιο δημοφιλή αθλήματα στην Ινδία;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","Κρίκετ, μπαδμιντον, ποδόσφαιρο",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.29, 'επιτραπέζιο τένις': 0.24, 'μπάτμιντον': 0.13, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.08, 'μπάσκετ': 0.06, 'ράγκμπι': 0.05, 'κρίκετ': 0.04, 'βόλεϊ': 0.02}"
Ποια είναι τα πιο δημοφιλή αθλήματα στο Ιράν;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","ποδόσφαιρο, βόλεϊ",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.28, 'επιτραπέζιο τένις': 0.22, 'μπάτμιντον': 0.12, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.09, 'μπάσκετ': 0.06, 'κρίκετ': 0.05, 'ράγκμπι': 0.05, 'βόλεϊ': 0.02}"
Ποια είναι τα πιο δημοφιλή αθλήματα στην Κένυα;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","ποδόσφαιρο, αθλητισμός",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.29, 'επιτραπέζιο τένις': 0.23, 'μπάτμιντον': 0.12, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.08, 'μπάσκετ': 0.06, 'ράγκμπι': 0.05, 'κρίκετ': 0.04, 'βόλεϊ': 0.02}"
Ποια είναι τα πιο δημοφιλή αθλήματα στις Ηνωμένες Πολιτείες;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός","ποδόσφαιρο, μπάσκετ",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.28, 'επιτραπέζιο τένις': 0.25, 'μπάτμιντον': 0.1, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.09, 'μπάσκετ': 0.07, 'ράγκμπι': 0.05, 'κρίκετ': 0.04, 'βόλεϊ': 0.02}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των Ηνωμένων Πολιτειών πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",αυτοκίνητο,αυτοκίνητο,"{'αυτοκίνητο': 0.27, 'αεροπλάνο': 0.24, 'λεωφορείο': 0.2, 'ποδήλατο': 0.1, 'τρένο': 0.05, 'βάρκα': 0.05, 'μετρό': 0.05, 'πλοίο': 0.05}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Κίνας πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",ποδήλατο,αυτοκίνητο,"{'αυτοκίνητο': 0.29, 'λεωφορείο': 0.21, 'αεροπλάνο': 0.21, 'ποδήλατο': 0.1, 'τρένο': 0.06, 'βάρκα': 0.05, 'πλοίο': 0.05, 'μετρό': 0.05}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Ινδίας πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα","λεωφορείο, τρένο",αυτοκίνητο,"{'αυτοκίνητο': 0.27, 'λεωφορείο': 0.21, 'αεροπλάνο': 0.21, 'ποδήλατο': 0.11, 'μετρό': 0.06, 'τρένο': 0.06, 'πλοίο': 0.05, 'βάρκα': 0.05}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις του Ιράν πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",αυτοκίνητο,αυτοκίνητο,"{'αυτοκίνητο': 0.26, 'αεροπλάνο': 0.22, 'λεωφορείο': 0.21, 'ποδήλατο': 0.1, 'τρένο': 0.06, 'βάρκα': 0.05, 'μετρό': 0.05, 'πλοίο': 0.05}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις της Κένυας πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα","λεωφορείο, αυτοκίνητο",αυτοκίνητο,"{'αυτοκίνητο': 0.26, 'αεροπλάνο': 0.21, 'λεωφορείο': 0.2, 'ποδήλατο': 0.12, 'τρένο': 0.06, 'βάρκα': 0.05, 'μετρό': 0.05, 'πλοίο': 0.04}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των Ηνωμένων Πολιτειών πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα","λεωφορείο, αυτοκίνητο",αυτοκίνητο,"{'αυτοκίνητο': 0.3, 'αεροπλάνο': 0.21, 'λεωφορείο': 0.2, 'ποδήλατο': 0.1, 'τρένο': 0.06, 'μετρό': 0.05, 'πλοίο': 0.05, 'βάρκα': 0.04}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Κίνα;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Ινδία;,"σπάνιο, συνηθισμένο",συνηθισμένο,συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στο Ιράν;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στην Κένυα;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες στις Ηνωμένες Πολιτείες;,"σπάνιο, συνηθισμένο",σπάνιο,συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Σε ποια κλιματική ζώνη ανήκουν οι Ηνωμένες Πολιτείες;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",εύκρατη,ηπειρωτική,"{'ηπειρωτική': 0.47, 'τροπική': 0.21, 'εύκρατη': 0.16, 'πολική': 0.13, 'ξηρή': 0.04}"
Σε ποια κλιματική ζώνη ανήκει η Κίνα;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",εύκρατη,ηπειρωτική,"{'ηπειρωτική': 0.46, 'τροπική': 0.21, 'εύκρατη': 0.17, 'πολική': 0.12, 'ξηρή': 0.03}"
Σε ποια κλιματική ζώνη ανήκει η Ινδία;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",τροπική,ηπειρωτική,"{'ηπειρωτική': 0.49, 'τροπική': 0.2, 'εύκρατη': 0.17, 'πολική': 0.12, 'ξηρή': 0.03}"
Σε ποια κλιματική ζώνη ανήκει το Ιράν;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",εύκρατη,ηπειρωτική,"{'ηπειρωτική': 0.44, 'τροπική': 0.23, 'εύκρατη': 0.16, 'πολική': 0.13, 'ξηρή': 0.03}"
Σε ποια κλιματική ζώνη ανήκει η Κένυα;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",τροπική,ηπειρωτική,"{'ηπειρωτική': 0.46, 'τροπική': 0.22, 'εύκρατη': 0.17, 'πολική': 0.12, 'ξηρή': 0.04}"
Σε ποια κλιματική ζώνη ανήκουν οι Ηνωμένες Πολιτείες;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",εύκρατη,ηπειρωτική,"{'ηπειρωτική': 0.45, 'τροπική': 0.22, 'εύκρατη': 0.17, 'πολική': 0.12, 'ξηρή': 0.03}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Αμερική;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.23, 'κόκκινο': 0.18, 'κίτρινο': 0.16, 'πράσινο': 0.14, 'βιολετί': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Κίνα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κόκκινο': 0.19, 'κίτρινο': 0.16, 'πράσινο': 0.15, 'βιολετί': 0.15, 'μπλε': 0.05, 'άσπρο': 0.05, 'μαύρο': 0.05}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Ινδία;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κόκκινο': 0.18, 'κίτρινο': 0.17, 'βιολετί': 0.15, 'πράσινο': 0.15, 'άσπρο': 0.06, 'μαύρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στο Ιράν;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.19, 'βιολετί': 0.15, 'κίτρινο': 0.15, 'πράσινο': 0.13, 'μαύρο': 0.06, 'μπλε': 0.05, 'άσπρο': 0.05}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Κένυα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κόκκινο': 0.19, 'κίτρινο': 0.16, 'πράσινο': 0.15, 'βιολετί': 0.15, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών στην Αμερική;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κόκκινο': 0.18, 'κίτρινο': 0.16, 'βιολετί': 0.15, 'πράσινο': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Αμερική;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.18, 'κίτρινο': 0.16, 'βιολετί': 0.15, 'πράσινο': 0.14, 'άσπρο': 0.05, 'μαύρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Κίνα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πράσινο,πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.18, 'κίτρινο': 0.15, 'βιολετί': 0.15, 'πράσινο': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Ινδία;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.23, 'κόκκινο': 0.18, 'κίτρινο': 0.15, 'βιολετί': 0.14, 'πράσινο': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στο Ιράν;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.21, 'κόκκινο': 0.18, 'κίτρινο': 0.17, 'βιολετί': 0.16, 'πράσινο': 0.14, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Κένυα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.21, 'κόκκινο': 0.17, 'κίτρινο': 0.17, 'βιολετί': 0.15, 'πράσινο': 0.14, 'μπλε': 0.05, 'μαύρο': 0.05, 'άσπρο': 0.05}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών στην Αμερική;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κόκκινο': 0.19, 'κίτρινο': 0.15, 'βιολετί': 0.15, 'πράσινο': 0.15, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στις Ηνωμένες Πολιτείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.25, 'κόκκινο': 0.18, 'βιολετί': 0.15, 'κίτρινο': 0.15, 'πράσινο': 0.13, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στην Κίνα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.25, 'κόκκινο': 0.17, 'κίτρινο': 0.16, 'βιολετί': 0.14, 'πράσινο': 0.14, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στην Ινδία;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",κόκκινο,πορτοκαλί,"{'πορτοκαλί': 0.23, 'κόκκινο': 0.18, 'πράσινο': 0.15, 'κίτρινο': 0.14, 'βιολετί': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στο Ιράν;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.23, 'κίτρινο': 0.17, 'κόκκινο': 0.16, 'πράσινο': 0.15, 'βιολετί': 0.14, 'άσπρο': 0.05, 'μαύρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στην Κένυα;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.24, 'κόκκινο': 0.17, 'κίτρινο': 0.16, 'πράσινο': 0.15, 'βιολετί': 0.15, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο στις Ηνωμένες Πολιτείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.26, 'κόκκινο': 0.18, 'βιολετί': 0.14, 'κίτρινο': 0.14, 'πράσινο': 0.13, 'άσπρο': 0.05, 'μαύρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φόρουμ που φορούν οι Αμερικανοί σε παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",μαύρο,πορτοκαλί,"{'πορτοκαλί': 0.2, 'κίτρινο': 0.17, 'κόκκινο': 0.17, 'πράσινο': 0.16, 'βιολετί': 0.15, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φορέματος που φοράνε οι Κινέζοι στις παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.18, 'κίτρινο': 0.15, 'πράσινο': 0.15, 'βιολετί': 0.14, 'μαύρο': 0.06, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φορέματος που φορούν οι Ινδοί στις παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",λευκό,πορτοκαλί,"{'πορτοκαλί': 0.25, 'κόκκινο': 0.18, 'κίτρινο': 0.16, 'βιολετί': 0.15, 'πράσινο': 0.13, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φορέματος που φορούν οι Ιρανοί στις παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",μαύρο,πορτοκαλί,"{'πορτοκαλί': 0.21, 'κόκκινο': 0.18, 'κίτρινο': 0.16, 'πράσινο': 0.15, 'βιολετί': 0.14, 'μαύρο': 0.06, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φορέματος που φορούν οι Κενυάτες στις παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",μαύρο,πορτοκαλί,"{'πορτοκαλί': 0.22, 'κίτρινο': 0.17, 'κόκκινο': 0.16, 'πράσινο': 0.14, 'βιολετί': 0.14, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φόρουμ που φορούν οι Αμερικανοί σε παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",μαύρο,πορτοκαλί,"{'πορτοκαλί': 0.21, 'κόκκινο': 0.17, 'κίτρινο': 0.17, 'βιολετί': 0.15, 'πράσινο': 0.15, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Μια αμερικανική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",λιγότερο,περισσότερο,"{'περισσότερο': 0.6, 'λιγότερο': 0.4}"
Μια κινεζική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",λιγότερο,περισσότερο,"{'περισσότερο': 0.58, 'λιγότερο': 0.42}"
Μια ινδική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",περισσότερο,περισσότερο,"{'περισσότερο': 0.57, 'λιγότερο': 0.43}"
Μια ιρανική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",λιγότερο,περισσότερο,"{'περισσότερο': 0.57, 'λιγότερο': 0.43}"
Μια κενυατική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",λιγότερο,περισσότερο,"{'περισσότερο': 0.58, 'λιγότερο': 0.42}"
Μια αμερικανική τελετή γάμου διαρκεί λιγότερο ή περισσότερο από μια μέρα;,"λιγότερο, περισσότερο",λιγότερο,περισσότερο,"{'περισσότερο': 0.6, 'λιγότερο': 0.4}"
